id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight,data_points,footnote,min_year_acquired
118804,321358,1,2.0,1001,"","",33.9,21,"",2015
118805,321359,1,1.0,1000,"","",227.0,24,"",2018
118806,321359,2,1.0,1009,"","",30.5,1,"",2018
118807,321359,3,1.0,1045,"","",976.0,1,"",2018
118808,321360,1,5.0,1082,"","",49.7,11,"",2016
118809,321360,2,1.0,1000,"","",152.0,11,"",2016
118834,321505,1,1.0,1002,"","",6.1,24,"",2018
118859,321611,1,1.0,1000,"",drained,129.0,24,"",2015
118864,321900,1,1.0,1000,"",chopped,76.0,12,"",2001
118891,322228,1,1.0,1000,"","",233.0,24,"",2018
118892,322228,2,1.0,1009,"","",30.5,1,"",2018
118893,322228,3,1.0,1045,"","",976.0,1,"",2018
118920,322559,1,1.0,1000,"","",229.0,24,"",2018
118921,322559,2,1.0,1009,"","",30.6,1,"",2018
118922,322559,3,1.0,1045,"","",980.0,1,"",2018
118951,322892,1,1.0,1000,"","",229.0,25,"",2018
118952,322892,2,1.0,1009,"","",30.5,1,"",2018
118953,322892,3,1.0,1001,"","",15.0,1,"",2018
118954,322892,4,1.0,1045,"","",976.0,1,"",2018
118987,323121,1,1.0,1043,"","",48.6,32,"",2015
119012,323294,1,1.0,1000,"",whole,135.0,24,"",2001
119036,323444,1,0.2,1000,"","",64.6,21,"",2016
119037,323444,3,0.5,1000,"","",129.0,1,"",2016
119038,323444,3,1.0,1000,"","",258.0,1,"",2016
119057,323505,1,1.0,1000,"","pieces of ~1""",20.6,9,"",2015
119060,323604,1,1.0,1038,"","",28.4,1,"",2017
119063,323697,1,1.0,1038,"","",28.4,1,"",2017
119069,323793,1,1.0,1001,"","",7.0,2,"",2017
119070,323793,2,1.0,1000,"",sifted,107.0,1,"",2017
119097,324038,1,2.0,1001,"","",35.7,24,"",2011
119107,324157,1,1.0,1033,"","",18.6,8,"",2016
